block,x,y,rot
BSofa,7900,2100,0
BSofa,10500,2100,0
BSofa,14900,2100,0
BSofa,19400,2100,0
BBackwash,700,4000,270
BBackwash,700,5310,270
BBackwash,700,6620,270
BBackwash,700,7930,270
BBackwash,700,9240,270
BBackwash,700,10550,270
BStylingChair,5700,8500,180
BStylingChair,5700,6100,0
BStylingChair,7250,8500,180
BStylingChair,7250,6100,0
BStylingChair,8800,8500,180
BStylingChair,8800,6100,0
BStylingChair,10350,8500,180
BStylingChair,10350,6100,0
BStylingChair,11900,8500,180
BStylingChair,11900,6100,0
BStylingChair,13450,8500,180
BStylingChair,13450,6100,0
BStylingChair,15000,8500,180
BStylingChair,15000,6100,0
BStylingChair,16550,8500,180
BStylingChair,16550,6100,0
BStylingChair,18100,8500,180
BStylingChair,18100,6100,0
BStylingChair,19650,8500,180
BStylingChair,19650,6100,0
BColourChair,22400,6800,0
BColourChair,24700,6800,0
BColourChair,22400,8300,0
BColourChair,24700,8300,0
BColourChair,22400,9800,0
BColourChair,24700,9800,0
BTreatChair,28000,4400,180
BTreatChair,28000,6350,180
BTreatChair,28000,8300,180
BTreatChair,28000,10250,180
BShower,5250,17250,180
BShower,6350,17250,180
BShower,7450,17250,180
BShower,8550,17250,180
BHammamSlab,11250,15300,0
BHammamSlab,14950,15300,0
BVanityBasin,11250,17250,180
BVanityBasin,14950,17250,180
BMakeupStation,37000,5400,90
BMakeupStation,37000,6950,90
BMakeupStation,37000,8500,90
BMakeupStation,37000,10050,90
BMakeupStation,40900,6200,270
BMakeupStation,40900,8100,270
BMakeupStation,40900,10000,270
BLashBed,44100,6400,0
BLashBed,44100,9100,0
BLashBed,46200,6400,0
BLashBed,46200,9100,0
BWc,47600,5520,90
BWc,47600,7020,90
BWc,47600,8520,90
BWc,47600,10020,90
BVanityBasin,48950,11000,270
BManicure,51000,5600,90
BManicure,53800,5600,90
BManicure,51000,7800,90
BManicure,53800,7800,90
BManicure,51000,10000,90
BManicure,53800,10000,90
BPedicure,56700,5100,270
BPedicure,56700,6250,270
BPedicure,56700,7400,270
BPedicure,56700,8550,270
BPedicure,56700,9700,270
BPedicure,56700,10850,270
BMakeupStation,59700,6300,90
BStylingChair,61200,6300,0
BSofa,61600,5000,0
BWasher,63600,5100,0
BWasher,64400,5100,0
BWasher,63600,6000,0
BWasher,64400,6000,0
BFacialBed,41750,15400,0
BFacialBed,44075,15400,0
BFacialBed,46425,15400,0
BLashBed,48600,15400,0
BLashBed,50600,15400,0
BFacialBed,53000,15400,0
BMassageBed,56400,15400,0
BVanityBasin,56400,17250,180
